80	0.013	8.352245207	0.002
100	0.024	8.544003745	0.002
120	0.042	8.77268488	0.002
140	0.072	7.657675888	0.002
160	0.112	8.002499609	0.002
180	0.182	8.376156637	0.003
200	0.271	8.774964387	0.003
220	0.395	9.195651146	0.004
240	0.592	9.635351576	0.004
260	0.861	10.09158065	0.005
280	1.241	10.56219674	0.007
300	1.581	11.04536102	0.009
320	2.01	11.53949739	0.01
340	2.817	14.83374531	0.013
360	3.8	15.25254077	0.017
